traces,topN,Correct Bytes,Bytes to guess,Partial key complexity,Remaining key complexity,Total Complexity
100,1,2,14,"1^2","2^112","2^112.0"
100,2,3,13,"2^3","2^104","2^107.0"
100,3,3,13,"3^3","2^104","2^108.75488750216347"
100,4,3,13,"4^3","2^104","2^110.0"
100,5,3,13,"5^3","2^104","2^110.96578428466209"
100,10,4,12,"10^4","2^96","2^109.28771237954945"
100,20,6,10,"20^6","2^80","2^105.93156856932418"
100,25,7,9,"25^7","2^72","2^104.50699332842308"
100,30,7,9,"30^7","2^72","2^106.34823416925963"
100,50,11,5,"50^11","2^40","2^102.08241808752197"
100,100,14,2,"100^14","2^16","2^109.01398665684614"

200,1,3,13,"1^3","2^104","2^104.0"
200,2,5,11,"2^5","2^88","2^93.0"
200,3,6,10,"3^6","2^80","2^89.50977500432694"
200,4,6,10,"4^6","2^80","2^92.0"
200,5,7,9,"5^7","2^72","2^88.25349666421154"
200,10,10,6,"10^10","2^48","2^81.21928094887363"
200,20,13,3,"20^13","2^24","2^80.18506523353571"
200,25,13,3,"25^13","2^24","2^84.37013046707142"
200,30,13,3,"30^13","2^24","2^87.78957774291075"
200,50,15,1,"50^15","2^8","2^92.65784284662087"
200,100,15,1,"100^15","2^8","2^107.65784284662087"

300,1,2,14,"1^2","2^112","2^112.0"
300,2,6,10,"2^6","2^80","2^86.0"
300,3,8,8,"3^8","2^64","2^76.67970000576925"
300,4,8,8,"4^8","2^64","2^80.0"
300,5,8,8,"5^8","2^64","2^82.5754247590989"
300,10,10,6,"10^10","2^48","2^81.21928094887363"
300,20,11,5,"20^11","2^40","2^87.54120904376099"
300,25,13,3,"25^13","2^24","2^84.37013046707142"
300,30,13,3,"30^13","2^24","2^87.78957774291075"
300,50,13,3,"50^13","2^24","2^97.37013046707142"
300,100,15,1,"100^15","2^8","2^107.65784284662087"

400,1,2,14,"1^2","2^112","2^112.0"
400,2,5,11,"2^5","2^88","2^93.0"
400,3,7,9,"3^7","2^72","2^83.09473750504809"
400,4,10,6,"4^10","2^48","2^68.0"
400,5,10,6,"5^10","2^48","2^71.21928094887362"
400,10,12,4,"10^12","2^32","2^71.86313713864834"
400,20,12,4,"20^12","2^32","2^83.86313713864836"
400,25,14,2,"25^14","2^16","2^81.01398665684614"
400,30,14,2,"30^14","2^16","2^84.69646833851927"
400,50,14,2,"50^14","2^16","2^95.01398665684614"
400,100,15,1,"100^15","2^8","2^107.65784284662087"

500,1,5,11,"1^5","2^88","2^88.0"
500,2,8,8,"2^8","2^64","2^72.0"
500,3,10,6,"3^10","2^48","2^63.84962500721156"
500,4,12,4,"4^12","2^32","2^56.0"
500,5,12,4,"5^12","2^32","2^59.86313713864835"
500,10,12,4,"10^12","2^32","2^71.86313713864834"
500,20,14,2,"20^14","2^16","2^76.50699332842308"
500,25,14,2,"25^14","2^16","2^81.01398665684614"
500,30,14,2,"30^14","2^16","2^84.69646833851927"
500,50,15,1,"50^15","2^8","2^92.65784284662087"
500,100,16,0,"100^16","2^0","2^106.30169903639559"

600,1,5,11,"1^5","2^88","2^88.0"
600,2,8,8,"2^8","2^64","2^72.0"
600,3,11,5,"3^11","2^40","2^57.43458750793272"
600,4,11,5,"4^11","2^40","2^62.0"
600,5,11,5,"5^11","2^40","2^65.54120904376099"
600,10,13,3,"10^13","2^24","2^67.18506523353571"
600,20,14,2,"20^14","2^16","2^76.50699332842308"
600,25,15,1,"25^15","2^8","2^77.65784284662087"
600,30,15,1,"30^15","2^8","2^81.60335893412778"
600,50,15,1,"50^15","2^8","2^92.65784284662087"
600,100,15,1,"100^15","2^8","2^107.65784284662087"

700,1,4,12,"1^4","2^96","2^96.0"
700,2,8,8,"2^8","2^64","2^72.0"
700,3,10,6,"3^10","2^48","2^63.84962500721156"
700,4,11,5,"4^11","2^40","2^62.0"
700,5,12,4,"5^12","2^32","2^59.86313713864835"
700,10,13,3,"10^13","2^24","2^67.18506523353571"
700,20,14,2,"20^14","2^16","2^76.50699332842308"
700,25,14,2,"25^14","2^16","2^81.01398665684614"
700,30,14,2,"30^14","2^16","2^84.69646833851927"
700,50,16,0,"50^16","2^0","2^90.30169903639559"
700,100,16,0,"100^16","2^0","2^106.30169903639559"

800,1,3,13,"1^3","2^104","2^104.0"
800,2,6,10,"2^6","2^80","2^86.0"
800,3,9,7,"3^9","2^56","2^70.26466250649041"
800,4,13,3,"4^13","2^24","2^50.0"
800,5,13,3,"5^13","2^24","2^54.18506523353571"
800,10,14,2,"10^14","2^16","2^62.50699332842307"
800,20,14,2,"20^14","2^16","2^76.50699332842308"
800,25,15,1,"25^15","2^8","2^77.65784284662087"
800,30,15,1,"30^15","2^8","2^81.60335893412778"
800,50,15,1,"50^15","2^8","2^92.65784284662087"
800,100,16,0,"100^16","2^0","2^106.30169903639559"

900,1,4,12,"1^4","2^96","2^96.0"
900,2,7,9,"2^7","2^72","2^79.0"
900,3,9,7,"3^9","2^56","2^70.26466250649041"
900,4,12,4,"4^12","2^32","2^56.0"
900,5,12,4,"5^12","2^32","2^59.86313713864835"
900,10,14,2,"10^14","2^16","2^62.50699332842307"
900,20,14,2,"20^14","2^16","2^76.50699332842308"
900,25,15,1,"25^15","2^8","2^77.65784284662087"
900,30,15,1,"30^15","2^8","2^81.60335893412778"
900,50,15,1,"50^15","2^8","2^92.65784284662087"
900,100,16,0,"100^16","2^0","2^106.30169903639559"

1000,1,5,11,"1^5","2^88","2^88.0"
1000,2,9,7,"2^9","2^56","2^65.0"
1000,3,11,5,"3^11","2^40","2^57.43458750793272"
1000,4,12,4,"4^12","2^32","2^56.0"
1000,5,13,3,"5^13","2^24","2^54.18506523353571"
1000,10,14,2,"10^14","2^16","2^62.50699332842307"
1000,20,15,1,"20^15","2^8","2^72.82892142331043"
1000,25,16,0,"25^16","2^0","2^74.30169903639559"
1000,30,16,0,"30^16","2^0","2^78.5102495297363"
1000,50,16,0,"50^16","2^0","2^90.30169903639559"
1000,100,16,0,"100^16","2^0","2^106.30169903639559"

