Byte,WeightedKeyGuess,WeightedScore,MostFrequentKeyGuess,MostFrequentCount
0,43,1.3215141243719652,43,6
1,126,1.3834441939797981,126,7
2,21,1.3826353036346146,21,5
3,22,1.3945392416483735,22,5
4,40,1.4060164156774442,40,7
5,174,1.3876322550636793,174,4
6,210,1.3591344650115438,210,4
7,166,1.4065613510806625,166,7
8,171,1.4900961406166524,171,5
9,247,1.439095746112622,247,6
10,21,1.4593724904432213,21,7
11,136,1.5601890849570612,136,8
12,9,1.6366116406847797,9,5
13,207,1.90067590610922,207,6
14,79,1.8310926288255007,79,6
15,60,2.010187080136008,60,7
